,Name,Clean_launch_year
220,Banana Nut Cheerios (2008,2008
221,Frosted Flakes Gold (200,2008
222,Honey Bunches of Oats with Chocolate Clusters (2008,2008
223,Honey Bunches of Oats with Chocolate Clusters (2008,2008
224,Honey Bunches of Oats Just Bunches (200,2008
225,Honey Bunches of Oats Just Bunches (200,2008
226,Maple & Brown Sugar Life,2008
227,Maple & Brown Sugar Life,2008
228,Kung Fu Panda Crunchers cereal,2008
229,High School Musical Cereal,2008
230,Dino S'mores Pebbles,2008
231,Dino S'mores Pebbles,2008
232,Cinna-Crunch Pebbles,1998
233,Cat in the Hat Cereal,2003
234,The Fairly OddParents Cereal!,2003
235,Cap'n Crunch's Oops! Choco Donuts,2003
236,Spider-Man Cereal,2002
237,Oat Cluster Cheerios Crunch (2007,2007
238,Oat Cluster Cheerios Crunch (2007,2007
239,Chocolate Chex (2007,2007
240,Chocolate Chex (2007,2007
241,Honey Bunches of Oats with Vanilla Clusters (2007,2007
242,Honey Bunches of Oats with Vanilla Clusters (2007,2007
243,Spiderman 3 Cereal,2007
244,Chocolate Peanut Butter Corn Pops,2007
245,Apple DJ Crashers,2007
246,Apple DJ Crashers,2007
247,Honey Bunches of Oats with Bananas (200,2004
248,Honey Bunches of Oats with Bananas (200,2004
249,Tony's Cinnamon Krunchers,2003
250,Mickey's Magix,2002
251,Marshmallow-Blasted Froot Loops,1998
252,Tiger Power,2004
253,Mud & Bugs,2003
254,Fruity Cheerios (2006,2006
255,Fruity Cheerios (2006,2006
256,Comet Balls,2006
257,Oatibix,2006
258,Neopets Islandberry Crunch,2006
259,Apple Jacks Double Vision,2006
260,Apple Jacks Double Vision,2006
261,Chocolatey Peanut Butter Crunch,2006
262,Frosted Mini-Chex (200,2002
263,Frosted Mini-Chex (200,2002
264,Disney Hunny B's Honey-Graham,2002
265,Cinnamon Crunch Crispix,2001
266,Mini Swirlz Peanut Butter Blast Cereal,2006
267,Pirates of the Caribbean Cereal,2006
268,IceBerry Pebbles,2006
269,IceBerry Pebbles,2006
270,Peanut Butter Cookie Crisp (200,2005
271,Peanut Butter Cookie Crisp (200,2005
272,Cran-Vanilla Crunch,2005
273,Mini Swirlz Fudge Ripple Cereal,2005
274,Marshmallow Mania Pebbles,2005
275,Marshmallow Mania Pebbles,2005
276,Chocolate Lucky Charms (2005,2005
277,Chocolate Lucky Charms (2005,2005
278,Tony's Turboz,2005
279,CinnaScary Apple Jacks,2005
280,CinnaScary Apple Jacks,2005
281,SpongeBob SquarePants,2004
282,Honey Maid,2007
283,Double Chocolate Cookie Crisp (200,2006
284,Double Chocolate Cookie Crisp (200,2006
285,Berry Krispies,2006
286,Berry Krispies,2006
287,Chocolate Oat Crunch Life,2006
288,Chocolate Oat Crunch Life,2006
289,Vanilla Yogurt Crunch Life,2005
290,Cinnamon Cheerios (2004,2004
291,Yogurt Burst Cheerios,2004
292,Yogurt Burst Cheerios,2004
293,Cinnamon Cheerios (2004,2004
294,Yogurt Burst Cheerios,2004
295,Yogurt Burst Cheerios,2004
296,Peanut Butter Toast Crunch,2004
297,Less Sugar Frosted Flakes (200,2004
298,Vanilla Yogurt Crunch Life,2005
299,Apple Jacks Criss Crossed,2008
300,Apple Jacks Criss Crossed,2008
301,Cocoa Krispies Choconilla,2007
302,Rice Krispies With Real Strawberries,2007
303,Cocoa Krispies Choconilla,2007
304,Rice Krispies With Real Strawberries,2007
305,Bamm-Bamm Berry Pebbles,2007
306,Berry Burst Cheerios (2003,2003
307,Berry Burst Cheerios,2003
308,Berry Burst Cheerios (2003,2003
309,Berry Burst Cheerios,2003
310,Berry Burst Cheerios,2003
311,Smorz,2003
312,Monopoly Cereal,2003
313,Nickelodeon Green Slime Cereal,2003
314,Hulk Cereal,2003
315,Winter Fruity Pebbles,2003
316,Winter Fruity Pebbles,2003
317,Berry Burst Cheerios,2003
318,Berry Burst Cheerios,2003
319,Berry Burst Cheerios,2003
320,Bamm-Bamm Berry Pebbles,2007
321,Berry Lucky Charms (200,2006
322,Berry Lucky Charms (200,2006
323,Mini Swirlz Cinnamon Bun Cereal,2005
324,Honey Graham Life,2004
325,Honey Bunches of Oats with Strawberries (2002,2002
326,Honey Bunches of Oats with Strawberries (2002,2002
327,Cinnamon Marshmallow Scooby-Doo,2002
328,Baked Apple Life,2002
329,Baked Apple Life,2002
330,Honey Graham Life,2004
331,Sprinkle Spangles,1990
332,Oatbake,1990
333,Dino Pebbles,1990
334,Dino Pebbles,1990
335,Special K Red Berries,2001
336,Slimer! And The Real Ghosterbusters Cereal,1990
337,Pokémon Cereal,2000
338,Honey Nut Chex (1999,1999
339,Honey Nut Chex (1999,1999
340,Nestlé NesQuik,1999
341,Raisin Bran Crunch,1999
342,Reptar Crunch,1999
343,Sun Crunchers,1990
344,Fruity Marshmallow Krispies,1987
345,Fruity Marshmallow Krispies,1987
346,Smurf Magic Berries,1987
347,Cranberry Almond Crunch,1997
348,Oops! All Berries,1997
349,Jurassic Park Crunch,1997
350,Honey Graham Chex (198,1986
351,Honey Graham Chex (198,1986
352,S'mores Grahams or S'mores Crunch,1980
353,Apple Cinnamon Rice Krispies,1980
354,Honey Rice Krispies,1996
355,Honey Rice Krispies,1996
356,Frosted Cheerios (1995,1995
357,Frosted Cheerios (1995,1995
358,French Toast Crunch,1995
359,Pop-Tarts Crunch,1995
360,Temptations French Vanilla Cereal,1995
361,Temptations Honey Roasted Pecan Cereal,1995
362,Spider-Man,1995
363,Reese's Puffs,1994
364,Addams Family Cereal,1994
365,Palaseja,1994
366,Rice Krispies Treats Cereal,1993
367,Rice Krispies Treats Cereal,1993
368,Apple Cinnamon Rice Krispies,1980
369,Berry Berry Kix,1992
370,Berry Berry Kix,1992
371,MultiGrain Cheerios (1991,1991
372,MultiGrain Cheerios (1991,1991
373,oho! breakfast cereals,1991
374,Teenage Mutant Ninja Turtles,1989
375,Marshmallow Rice Krispies,1982
376,Marshmallow Rice Krispies,1982
377,Double Dip Crunch,1989
378,Hidden Treasures,1993
379,Birthday Confetti Frosted Flakes (199,1997
380,Multi-Bran Chex (1990,1990
381,Multi-Bran Chex (1990,1990
382,Honey Bunches of Oats with Almonds (199,1990
383,Honey Bunches of Oats with Almonds (199,1990
384,Teddy Grahams Breakfast Bears Graham Cereal,1990
385,Tiny Toon Adventures Cereal,1990
386,Hot Wheels,1990
387,Cruncheroos,1990
388,Double Chex,1990
389,Double Chex,1990
390,Honey Bunches of Oats (1989,1989
391,Ghostbusters II Cereal,1989
392,Strawberry Rice Krispies,1983
393,Apple Cinnamon Cheerios (1988,1988
394,Apple Cinnamon Cheerios (1988,1988
395,Christmas Crunch,1988
396,Strawberry Rice Krispies,1983
397,Concentrate,1959
398,Krispy Kritters 1960s,1960
399,Fruit Brute,1974
400,Fruit Brute,1974
401,Rocky Road,1986
402,Cröonchy Stars,1988
403,Fruit Islands,1987
404,Oatmeal Cookie Crisp (197,1978
405,Oatmeal Cookie Crisp (197,1978
406,Choco Crunch (Original),1980
407,Vanilla Cookie Crisp (197,1978
408,Rail Road tracks,1986
409,Vanilla Cookie Crisp (197,1978
410,Crispy Critters,1963
411,Circus Fun,1988
412,G.I. Joe Action Stars,1985
413,Rainbow Brite Cereal,1985
414,Dunkin' Donuts Cereal,1988
415,Cinnamon Toast Crunch,1984
416,Mr. T Cereal,1984
417,E.T. Cereal,1984
418,Gremlins cereal,1984
419,Crispix,1983
420,Smurf Berry Crunch,1983
421,Oh's,1985
422,Raisin Life,1985
423,Raisin Life,1985
424,Chocolate Donutz,1983
425,Pac-Man,1983
426,Powdered Donutz,1983
427,Donkey Kong Crunch,1982
428,Honey Nut Corn Flakes,1981
429,Orange Blossom,1981
430,Donkey Kong Jr. Cereal,1983
431,Banana Frosted Flakes (1981,1981
432,Cinnamon Nut Cheerios (198,1980
433,Cinnamon Nut Cheerios (198,1980
434,Mueslix,1980
435,Strawberry Shortcake,1980
436,O.J.s,1980
437,Strawberry Squares,1980
438,S.W. Graham,1980
439,Halfsies,1980
440,Dinky Donuts,1980
441,Cracker Jack Cereal,1983
442,Nerds Cereal,1983
443,Freakies,1972
444,Pro Grain Cereal Kellogg's (198,1987
445,Honey Nut Cheerios (1979,1979
446,Honey Nut Cheerios (1979,1979
447,Mini-Wheats,1978
448,Cinnamon Life,1978
449,Cinnamon Life,1978
450,Ghostbusters Cereal,1985
451,Morning Funnies,1988
452,Mickey Mouse Magic Crunch,1988
453,Dinersaurs,1988
454,Cookie Crisp (1977,1977
455,Nintendo Cereal System,1988
456,Krumbles-Kellogg's (191,1913
457,Boo-Berry Cereal,1973
458,Boo Berry,1973
459,Boo Berry,1973
460,Sir Grapefellow,1972
461,Quake,1965
462,Punch Crunch,1970
463,Monster Cereals,1971
464,Count Chocula,1971
465,Franken Berry,1971
466,Count Chocula,1971
467,Franken Berry,1971
468,Count Chocula (197,1971
469,Franken Berry (197,1971
470,Rice Krinkles,1951
471,Jets,1950
472,Golden Grahams,1970
473,Cocoa Pebbles,1970
474,Cocoa Pebbles,1970
475,King Vitaman,1970
476,Mr. Wonderful's Surprise,1970
477,Corny Snaps,1970
478,Magic Puffs Cereal,1970
479,Cinnamon Crunch,1970
480,Moonstones,1970
481,Sugar Chex,1970
482,Sugar Chex,1970
483,Kaboom!,1969
484,Pebbles Cereal,1969
485,Fruity Pebbles,1969
486,Fruity Pebbles,1969
487,Peanut Butter Crunch,1969
488,Product 19,1967
489,Cap'n Crunch Crunch Berries,1967
490,Crazy Cow,1978
491,Apple Jacks,1965
492,Honeycomb,1965
493,Pink Panther Flakes,1972
494,Lucky Charms,1964
495,Froot Loops,1964
496,Cap'n Crunch,1963
497,Quake Quangaroos,1971
498,Total,1961
499,Puffa Puffa Rice,1967
500,Life,1960
501,Stars,1960
502,Sugar Sprinkled Twinkles,1960
503,OKs,1960
504,Corn Chex (1958,1958
505,Corn Chex (1958,1958
506,Cocoa Puffs,1958
507,Cocoa Krispies,1958
508,Cocoa Krispies,1958
509,Alpha-Bits,1958
510,Special K,1955
511,Corn Pops,1951
512,Apple Jacks Gliders,2009
513,Apple Jacks Gliders,2009
514,Rice Chex (1950,1950
515,Rice Chex (1950,1950
516,Sugar Jets,1950
517,Sugar Crisp,1949
518,Raisin Bran,1944
519,Wheat Chex (1937,1937
520,Wheat Chex (1937,1937
521,Kix,1937
522,CoCo Wheats,1930
523,Rice Krispies,1929
524,All-Bran,1916
525,Strawberry Chex (200,2008
526,Corn Flakes,1907
527,Grape-Nuts,1897
528,Choco Crunch (Re-introduced Version),2007
529,Eggo (breakfast cereal),2006
530,Star Wars cereal,2005
531,Homer's Cinnamon Donut Cereal,2001
532,Strawberry Chex (200,2008
533,Keebler Cookie Crunch Cereal,2008
534,Oat Crisp,1998
535,Chex,1997
536,Cupcake Pebbles,2009
537,Cupcake Pebbles,2009
538,Jumbo Krispies,2009
539,Jumbo Krispies,2009
540,Cookie Crisp Sprinkles (200,2009
541,Cookie Crisp Sprinkles (200,2009
542,Honey Bunches of Oats with Cinnamon Clusters (2006,2006
543,Honey Bunches of Oats with Cinnamon Clusters (2006,2006
544,Frosted Flakes Chocolate (201,2010
545,Yummy Mummy,1988
546,Yummy Mummy,1988
547,Sugar Smacks,1953
548,Frosted Flakes,1952
549,Golden Crisp,1949
550,Cheerios,1941
