Company_name,NIPE_MM,Sector,Industry,Exchange,Market_Cap,Employees_Full_Time,Net_income_MM,Clean_market_cap
Monster Beverage Corp,319,Consumer Staples,Beverages,NASDAQ,$29.3B,2214,"$706,196",29
Alibaba Group Holding Ltd,305,Information Technology,Internet Software & Services,NYSE,$192B,34985,"$10,673,110",192
Canadian National Railway Co,278,Industrials,Road & Rail,NYSE,$48B,13065,"$3,625,780",48
Alphabet Inc,276,Information Technology,Internet Software & Services,NASDAQ,$486.2B,61814,"$17,040,000",486
Level 3 Communications Inc,275,Telecommunication Services,Diversified Telecommunication Services,NYSE,$18.6B,12500,"$3,435,000",19
AFLAC Inc,262,Financials,Insurance,NYSE,$28.6B,9915,"$2,601,000",29
Phillips 66,259,Energy,"Oil, Gas & Consumable Fuels",NYSE,$43.5B,14000,"$3,625,000",44
AvalonBay Communities Inc.,259,Financials,Real Estate Investment Trusts (REITs),NYSE,$24.2B,2981,"$771,825",24
Blackrock Inc,245,Financials,Capital Markets,NYSE,$58.9B,13000,"$3,180,000",59
Viacom Inc,242,Consumer Discretionary,Media,NASDAQ,$17.4B,9200,"$2,227,000",17
Viacom Inc,242,Consumer Discretionary,Media,NASDAQ,$16.2B,9200,"$2,227,000",16
Celgene Corp,242,Health Care,Biotechnology,NASDAQ,$81.3B,6971,"$1,683,800",81
Shire PLC,240,Health Care,Pharmaceuticals,NASDAQ,$37B,5548,"$1,334,100",37
Intercontinental Exchange Inc,230,Financials,Diversified Financial Services,NYSE,$28.6B,5549,"$1,274,000",29
Sirius XM Holdings Inc,219,Consumer Discretionary,Media,NASDAQ,$20.3B,2323,"$509,724",20
Canadian Pacific Railway Ltd,216,Industrials,Road & Rail,NYSE,$22.1B,7273,"$1,571,947",22
Sun Life Financial Inc,211,Financials,Insurance,NYSE,$20.9B,10335,"$2,184,878",21
SL Green Realty Corp.,211,Financials,Real Estate Investment Trusts (REITs),NYSE,$10.5B,1177,"$247,975",1
Taiwan Semiconductor Manufacturing Co Ltd,207,Information Technology,Semiconductors & Semiconductor Equipment,NYSE,$122.3B,45272,"$9,349,614",122
Public Storage,204,Financials,Real Estate Investment Trusts (REITs),NYSE,$42.4B,5300,"$1,081,772",42
Royal Bank of Canada,202,Financials,Banks,NYSE,$92.4B,48013,"$9,705,964",92
T. Rowe Price Group Inc,201,Financials,Capital Markets,NASDAQ,$18.7B,5999,"$1,208,700",19
NextEra Energy Inc,198,Utilities,Electric Utilities,NYSE,$54.2B,13800,"$2,738,000",54
American Tower Corp,196,Financials,Real Estate Investment Trusts (REITs),NYSE,$44.5B,3371,"$659,791",45
Intuitive Surgical Inc,196,Health Care,Health Care Equipment & Supplies,NASDAQ,$23.9B,3211,"$628,200",24
AbbVie Inc,196,Health Care,Biotechnology,NYSE,$98.2B,28000,"$5,476,000",98
Synchrony Financial,187,Financials,Consumer Finance,NYSE,$25.5B,12000,"$2,244,000",26
Potash Corporation of Saskatchewan Inc,181,Materials,Chemicals,NYSE,$14.9B,5395,"$975,000",15
Exxon Mobil Corp,177,Energy,"Oil, Gas & Consumable Fuels",NYSE,$366.6B,73500,"$13,020,000",367
Franklin Resources Inc,176,Financials,Capital Markets,NYSE,$21.9B,9489,"$1,670,600",22
Broadcom Ltd,174,Information Technology,Semiconductors & Semiconductor Equipment,NASDAQ,$40.5B,8200,"$1,430,000",41
eBay Inc.,171,Information Technology,Internet Software & Services,NASDAQ,$27.9B,11600,"$1,980,000",28
Ryanair Holdings PLC,165,Industrials,Airlines,NASDAQ,$21.4B,9393,"$1,547,691",21
Priceline Group Inc (The),165,Consumer Discretionary,Internet & Catalog Retail,NASDAQ,$66.7B,15500,"$2,551,360",67
Toronto-Dominion Bank (The),159,Financials,Banks,NYSE,$82.3B,50157,"$7,972,976",82
First Republic Bank,158,Financials,Banks,NYSE,$10.3B,3130,"$493,600",0
Brown-Forman Corp,156,Consumer Staples,Beverages,NYSE,$20.9B,4400,"$686,000",21
Brown-Forman Corp,156,Consumer Staples,Beverages,NYSE,$19.4B,4400,"$686,000",19
Cincinnati Financial Corp,154,Financials,Insurance,NASDAQ,$10.9B,4493,"$694,000",1
Vornado Realty Trust,154,Financials,Real Estate Investment Trusts (REITs),NYSE,$18.1B,4089,"$630,662",18
Crown Castle International Corp,154,Financials,Real Estate Investment Trusts (REITs),NYSE,$29.3B,2700,"$416,386",29
Time Warner Inc,153,Consumer Discretionary,Media,NYSE,$59.7B,24800,"$3,796,000",60
Bank of Montreal,151,Financials,Banks,NYSE,$41.9B,28532,"$4,318,886",42
Discover Financial Services Inc,150,Financials,Consumer Finance,NYSE,$23.3B,15036,"$2,249,000",23
Skyworks Solutions Inc,149,Information Technology,Semiconductors & Semiconductor Equipment,NASDAQ,$12.8B,6700,"$1,000,000",13
QUALCOMM Inc.,149,Information Technology,Semiconductors & Semiconductor Equipment,NASDAQ,$74.1B,33000,"$4,908,000",74
Regeneron Pharmaceuticals Inc,148,Health Care,Biotechnology,NASDAQ,$39.4B,4300,"$636,056",39
TD AMERITRADE Holding Corp,146,Financials,Capital Markets,NASDAQ,$16B,5690,"$829,000",16
Energy Transfer Partners LP,144,Energy,"Oil, Gas & Consumable Fuels",NYSE,$17.9B,9466,"$1,364,000",18
Nasdaq Inc,144,Financials,Diversified Financial Services,NASDAQ,$10.1B,3824,"$551,000",0
Ntt Docomo Inc,144,Telecommunication Services,Wireless Telecommunication Services,NYSE,$94.5B,25680,"$3,698,958",95
Cisco Systems Inc,144,Information Technology,Communications Equipment,NASDAQ,$138.9B,71833,"$10,341,000",139
Essex Property Trust Inc.,137,Financials,Real Estate Investment Trusts (REITs),NYSE,$14.4B,1806,"$248,024",14
Columbia Pipeline Group Inc,136,Energy,"Oil, Gas & Consumable Fuels",NYSE,$10.2B,1968,"$267,600",0
Invesco Ltd,134,Financials,Capital Markets,NYSE,$12.9B,6490,"$869,500",13
Canadian Imperial Bank of Commerce,132,Financials,Banks,NYSE,$31.9B,27208,"$3,591,989",32
D.R. Horton Inc.,131,Consumer Discretionary,Household Durables,NYSE,$11.1B,6230,"$813,100",11
Dominion Resources Inc.,129,Utilities,Multi-Utilities,NYSE,$42.6B,14700,"$1,899,000",43
Dominion Resources Inc.,129,Utilities,Multi-Utilities,NYSE,$33.1B,14700,"$1,899,000",33
Chubb Ltd,129,Financials,Insurance,NYSE,$38.3B,22000,"$2,834,000",38
Arm Holdings PLC,127,Information Technology,Semiconductors & Semiconductor Equipment,NASDAQ,$19.3B,3975,"$506,283",19
Bank of Nova Scotia (The),127,Financials,Banks,NYSE,$63.1B,54915,"$6,977,873",63
Lincoln National Corp,124,Financials,Insurance,NYSE,$10.6B,9312,"$1,154,000",1
Dow Chemical Co (The),124,Materials,Chemicals,NYSE,$58.8B,49495,"$6,121,000",59
Novo Nordisk A/S,123,Health Care,Pharmaceuticals,NYSE,$142.1B,41122,"$5,072,538",142
Baidu Inc,123,Information Technology,Internet Software & Services,NASDAQ,$67.3B,41467,"$5,109,875",67
Glaxosmithkline PLC,123,Health Care,Pharmaceuticals,NYSE,$103.8B,101255,"$12,419,081",104
Activision Blizzard Inc,122,Information Technology,Software,NASDAQ,$25.3B,7300,"$892,000",25
Johnson & Johnson,121,Health Care,Pharmaceuticals,NYSE,$308.8B,127100,"$15,381,000",309
Public Service Enterprise Group Inc,120,Utilities,Multi-Utilities,NYSE,$23.3B,13025,"$1,564,000",23
Twenty-First Century Fox Inc,120,Consumer Discretionary,Media,NASDAQ,$58.4B,20500,"$2,458,000",58
Twenty-First Century Fox Inc,120,Consumer Discretionary,Media,NASDAQ,$58.2B,20500,"$2,458,000",58
Digital Realty Trust Inc,119,Financials,Real Estate Investment Trusts (REITs),NYSE,$12.9B,1295,"$154,663",13
Ameriprise Financial Inc,118,Financials,Capital Markets,NYSE,$16B,13000,"$1,533,000",16
Constellation Brands Inc,117,Consumer Staples,Beverages,NYSE,$31.3B,9000,"$1,054,900",31
Constellation Brands Inc,117,Consumer Staples,Beverages,NYSE,$31.1B,9000,"$1,054,900",31
Prudential Financial Inc,114,Financials,Insurance,NYSE,$34.7B,49384,"$5,642,000",35
Blackstone Group LP (The),112,Financials,Capital Markets,NYSE,$17.1B,2060,"$230,374",17
Eversource Energy,111,Utilities,Electric Utilities,NYSE,$17.9B,7943,"$878,485",18
Manulife Financial Corp,110,Financials,Insurance,NYSE,$29B,18889,"$2,074,961",29
Goldman Sachs Group Inc (The),109,Financials,Capital Markets,NYSE,$71.7B,36800,"$4,020,000",72
Lam Research Corp,108,Information Technology,Semiconductors & Semiconductor Equipment,NASDAQ,$12.2B,7300,"$786,381",12
Intel Corp,107,Information Technology,Semiconductors & Semiconductor Equipment,NASDAQ,$143.1B,107300,"$11,474,000",143
Travelers Companies Inc (The),107,Financials,Insurance,NYSE,$32.1B,30900,"$3,297,000",32
UBS Group AG,103,Financials,Capital Markets,NYSE,$64.8B,60099,"$6,192,473",65
Linear Technology Corp,102,Information Technology,Semiconductors & Semiconductor Equipment,NASDAQ,$10.7B,4868,"$494,686",1
Verizon Communications Inc,101,Telecommunication Services,Diversified Telecommunication Services,NYSE,$207.6B,177700,"$17,970,000",208
Illumina Inc,100,Health Care,Life Sciences Tools & Services,NASDAQ,$19.8B,4600,"$461,559",20
Texas Instruments Inc,100,Information Technology,Semiconductors & Semiconductor Equipment,NASDAQ,$57.4B,29977,"$2,998,000",57
Express Scripts Holding Co,99,Health Care,Health Care Providers & Services,NASDAQ,$46.6B,25900,"$2,561,400",47
Discovery Communications Inc,98,Consumer Discretionary,Media,NASDAQ,$12.8B,7000,"$686,000",13
Discovery Communications Inc,98,Consumer Discretionary,Media,NASDAQ,$12.5B,7000,"$686,000",13
Discovery Communications Inc,98,Consumer Discretionary,Media,NASDAQ,$12.2B,7000,"$686,000",12
KLA-Tencor Corp,98,Information Technology,Semiconductors & Semiconductor Equipment,NASDAQ,$10.9B,5880,"$574,900",1
Union Pacific Corp,97,Industrials,Road & Rail,NYSE,$73.4B,47457,"$4,600,000",73
Duke Energy Corp,96,Utilities,Electric Utilities,NYSE,$54.2B,29188,"$2,796,000",54
Schwab (Charles) Corp,96,Financials,Capital Markets,NYSE,$37.5B,15300,"$1,465,000",38
JPMorgan Chase & Co,96,Financials,Banks,NYSE,$231.1B,234598,"$22,445,000",231
Hasbro Inc.,95,Consumer Discretionary,Leisure Products,NASDAQ,$10.6B,5000,"$473,922",1
American Electric Power Co Inc,95,Utilities,Electric Utilities,NYSE,$31.2B,17405,"$1,645,900",31
Rogers Communications Inc,94,Telecommunication Services,Wireless Telecommunication Services,NYSE,$20B,14660,"$1,373,963",20
Church & Dwight Co. Inc.,93,Consumer Staples,Household Products,NYSE,$12B,4400,"$410,400",12
ING Groep NV,92,Financials,Banks,NYSE,$47.5B,52720,"$4,849,629",48
American Express Co,91,Financials,Consumer Finance,NYSE,$62.2B,54800,"$4,981,000",62
BCE Inc.,90,Telecommunication Services,Diversified Telecommunication Services,NYSE,$40.6B,28175,"$2,525,998",41
Consolidated Edison Inc.,89,Utilities,Multi-Utilities,NYSE,$21.9B,13393,"$1,193,000",22
Microsoft Corp,89,Information Technology,Software,NASDAQ,$392.5B,118000,"$10,481,000",393
ASML Holding NV,89,Information Technology,Semiconductors & Semiconductor Equipment,NASDAQ,$41.3B,14681,"$1,299,314",41
Hartford Financial Services Group Inc. (The),88,Financials,Insurance,NYSE,$17.6B,17400,"$1,529,000",18
Fifth Third Bancorp,88,Financials,Banks,NASDAQ,$14.1B,18261,"$1,603,000",14
Southern Co (The),88,Utilities,Electric Utilities,NYSE,$46B,26703,"$2,344,000",46
Moody's Corp.,86,Financials,Diversified Financial Services,NYSE,$18.6B,10400,"$895,600",19
Clorox Co (The),85,Consumer Staples,Household Products,NYSE,$16.2B,7700,"$657,000",16
U.S. Bancorp,85,Financials,Banks,NYSE,$73.9B,65433,"$5,582,000",74
United Continental Holdings Inc,85,Industrials,Airlines,NYSE,$15.5B,84000,"$7,145,000",16
Applied Materials Inc.,85,Information Technology,Semiconductors & Semiconductor Equipment,NASDAQ,$23.1B,15500,"$1,315,000",23
Sumitomo Mitsui Financial Group Inc,84,Financials,Banks,NYSE,$41.6B,68700,"$5,796,863",42
Xcel Energy Inc.,84,Utilities,Electric Utilities,NYSE,$20.3B,11687,"$984,485",20
Western Union Co,84,Information Technology,IT Services,NYSE,$10B,10000,"$837,800",0
Philip Morris International Inc,82,Consumer Staples,Tobacco,NYSE,$152.2B,80200,"$6,608,000",152
Capital One Financial Corp.,82,Financials,Consumer Finance,NYSE,$37.2B,45400,"$3,733,000",37
Wells Fargo & Co,80,Financials,Banks,NYSE,$253.7B,264700,"$21,094,000",254
PayPal Holdings Inc,80,Information Technology,IT Services,NASDAQ,$47.3B,16800,"$1,338,000",47
Morgan Stanley,79,Financials,Capital Markets,NYSE,$52.4B,56218,"$4,428,000",52
Principal Financial Group Inc.,79,Financials,Insurance,NYSE,$12.4B,14895,"$1,171,300",12
SunTrust Banks Inc.,78,Financials,Banks,NYSE,$21.1B,24043,"$1,882,000",21
Mitsubishi UFJ Financial Group,78,Financials,Banks,NYSE,$63.4B,102300,"$7,969,486",63
Electronic Arts Inc.,78,Information Technology,Software,NASDAQ,$19.2B,8400,"$652,000",19
Sempra Energy,78,Utilities,Multi-Utilities,NYSE,$25.7B,17387,"$1,349,000",26
Edison International,77,Utilities,Electric Utilities,NYSE,$23B,12768,"$985,000",23
Exelon Corp,76,Utilities,Electric Utilities,NYSE,$32.3B,29762,"$2,269,000",32
PPL Corp,76,Utilities,Electric Utilities,NYSE,$25.5B,20145,"$1,532,000",26
Mondelez International Inc,76,Consumer Staples,Food Products,NASDAQ,$66.8B,99000,"$7,497,000",67
WEC Energy Group Inc,76,Utilities,Multi-Utilities,NYSE,$18.4B,8443,"$638,500",18
Procter & Gamble Co (The),75,Consumer Staples,Household Products,NYSE,$213.3B,110000,"$8,294,000",213
Metlife Inc.,75,Financials,Insurance,NYSE,$49.5B,69000,"$5,194,000",50
Kansas City Southern,74,Industrials,Road & Rail,NYSE,$10.2B,6670,"$490,300",0
PNC Financial Services Group Inc.,72,Financials,Banks,NYSE,$43.8B,52513,"$3,807,000",44
Air Products and Chemicals Inc.,72,Materials,Chemicals,NYSE,$31.5B,19700,"$1,420,900",32
Itau Unibanco Holding SA,72,Financials,Banks,NYSE,$27.4B,90320,"$6,501,149",27
Intuit Inc.,72,Information Technology,Software,NASDAQ,$26.3B,7700,"$552,000",26
American Water Works Company Inc,71,Utilities,Water Utilities,NYSE,$13.2B,6700,"$476,000",13
Pfizer Inc,71,Health Care,Pharmaceuticals,NYSE,$202B,97900,"$6,948,000",202
Waters Corp,71,Health Care,Life Sciences Tools & Services,NYSE,$10.6B,6594,"$467,044",1
Orix Corp,71,Financials,Diversified Financial Services,NYSE,$18.2B,31035,"$2,191,245",18
Analog Devices Inc.,70,Information Technology,Semiconductors & Semiconductor Equipment,NASDAQ,$17.5B,9700,"$682,625",18
DTE Energy Co,70,Utilities,Multi-Utilities,NYSE,$16B,10000,"$701,000",16
FleetCor Technologies Inc,68,Information Technology,IT Services,NYSE,$14.3B,5330,"$362,431",14
Ameren Corp,68,Utilities,Multi-Utilities,NYSE,$11.6B,8527,"$579,000",12
Mead Johnson Nutrition Co,68,Consumer Staples,Food Products,NYSE,$16.3B,7660,"$518,800",16
Nomura Holdings Inc,68,Financials,Capital Markets,NYSE,$15.2B,28672,"$1,935,625",15
Baxter International Inc,67,Health Care,Health Care Equipment & Supplies,NYSE,$24.2B,50000,"$3,360,000",24
Oracle Corp,67,Information Technology,Software,NYSE,$165.7B,132000,"$8,844,000",166
Berkshire Hathaway Inc,67,Financials,Diversified Financial Services,NYSE,$358.6B,361270,"$24,083,000",359
NVIDIA Corp,67,Information Technology,Semiconductors & Semiconductor Equipment,NASDAQ,$19.2B,9227,"$614,000",19
Citigroup Inc,66,Financials,Banks,NYSE,$135.8B,231000,"$15,173,000",136
Merck & Co Inc.,65,Health Care,Pharmaceuticals,NYSE,$152.5B,68000,"$4,442,000",153
Agrium Inc.,65,Materials,Chemicals,NYSE,$11.9B,15200,"$988,000",12
Verisk Analytics Inc,64,Industrials,Professional Services,NASDAQ,$13.1B,7918,"$507,577",13
CBS Corp,64,Consumer Discretionary,Media,NYSE,$27.9B,21900,"$1,403,000",28
CBS Corp,64,Consumer Discretionary,Media,NYSE,$25.9B,21900,"$1,403,000",26
CA Inc,64,Information Technology,Software,NASDAQ,$12.2B,11600,"$743,000",12
Bank of America Corp,64,Financials,Banks,NYSE,$150.2B,213280,"$13,653,000",150
Roper Technologies Inc,64,Industrials,Industrial Conglomerates,NYSE,$17.8B,10806,"$691,710",18
CSX Corp,64,Industrials,Road & Rail,NASDAQ,$26.1B,29410,"$1,882,000",26
KeyCorp,63,Financials,Banks,NYSE,$10.4B,13483,"$852,000",0
Bristol-Myers Squibb Co,63,Health Care,Pharmaceuticals,NYSE,$122.7B,25000,"$1,574,000",123
American Airlines Group Inc,62,Industrials,Airlines,NASDAQ,$20.3B,118500,"$7,378,000",20
CMS Energy Corp,62,Utilities,Multi-Utilities,NYSE,$11.4B,7804,"$485,000",11
Eastman Chemical Co,62,Materials,Chemicals,NYSE,$11.3B,15000,"$928,000",11
M&T Bank Corp,60,Financials,Banks,NYSE,$18.8B,17476,"$1,055,313",19
Bank of New York Mellon Corp (The),60,Financials,Capital Markets,NYSE,$43.3B,51200,"$3,091,000",43
Nike Inc,60,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",NYSE,$99.3B,62600,"$3,779,000",99
Stryker Corp,60,Health Care,Health Care Equipment & Supplies,NYSE,$40.8B,27000,"$1,617,000",41
Ambev SA,59,Consumer Staples,Beverages,NYSE,$87.7B,52738,"$3,137,878",88
Northern Trust Corp,59,Financials,Capital Markets,NASDAQ,$16.2B,16200,"$961,500",16
Novartis AG,59,Health Care,Pharmaceuticals,NYSE,$180.3B,118700,"$7,025,000",180
Coca-Cola Co (The),59,Consumer Staples,Beverages,NYSE,$194.1B,123200,"$7,277,000",194
Extra Space Storage Inc,59,Financials,Real Estate Investment Trusts (REITs),NYSE,$10.5B,3209,"$189,474",1
Adobe Systems Inc,58,Information Technology,Software,NASDAQ,$47.2B,13893,"$798,970",47
Archer-Daniels-Midland Co,57,Consumer Staples,Food Products,NYSE,$23.8B,32300,"$1,849,000",24
Delta Air Lines Inc.,57,Industrials,Airlines,NYSE,$32.2B,82949,"$4,726,000",32
Paychex Inc.,57,Information Technology,IT Services,NASDAQ,$18.8B,13000,"$739,900",19
TransDigm Group Inc,57,Industrials,Aerospace & Defense,NYSE,$12.2B,8200,"$466,580",12
Southern Copper Corp,57,Materials,Metals & Mining,NYSE,$23B,13024,"$736,400",23
Monsanto Co,56,Materials,Chemicals,NYSE,$40.9B,25500,"$1,436,000",41
Toyota Motor Corp,56,Consumer Discretionary,Automobiles,NYSE,$156.3B,344109,"$19,354,000",156
Eli Lilly and Co,56,Health Care,Pharmaceuticals,NYSE,$83.4B,41275,"$2,319,000",83
Praxair Inc.,56,Materials,Chemicals,NYSE,$33.5B,26657,"$1,487,000",34
Equifax Inc.,55,Industrials,Professional Services,NYSE,$14.3B,8000,"$442,900",14
State Street Corp,55,Financials,Capital Markets,NYSE,$24.6B,32356,"$1,791,000",25
J.M. Smucker Co (The),55,Consumer Staples,Food Products,NYSE,$15.2B,7370,"$407,400",15
Markel Corp,55,Financials,Insurance,NYSE,$12.6B,10600,"$582,772",13
3M Co,55,Industrials,Industrial Conglomerates,NYSE,$101.5B,89446,"$4,909,000",102
Anheuser-Busch InBev SA/NV,54,Consumer Staples,Beverages,NYSE,$199.5B,152321,"$8,273,000",200
Comcast Corp,54,Consumer Discretionary,Media,NASDAQ,$147.5B,153000,"$8,238,000",148
Norfolk Southern Corp,54,Industrials,Road & Rail,NYSE,$26.6B,30456,"$1,633,000",27
Cigna Corp,53,Health Care,Health Care Providers & Services,NYSE,$35.5B,39300,"$2,094,000",36
BB&T Corp,53,Financials,Banks,NYSE,$27.7B,37200,"$1,975,000",28
Edwards Lifesciences Corp,53,Health Care,Health Care Equipment & Supplies,NYSE,$22.5B,9800,"$514,500",23
Huaneng Power International Inc,52,Utilities,Independent Power and Renew. Elect.Producers,NYSE,$10.2B,37737,"$1,972,957",0
TELUS Corp,51,Telecommunication Services,Diversified Telecommunication Services,NYSE,$18.8B,26862,"$1,381,982",19
VMware Inc,51,Information Technology,Software,NYSE,$24.1B,19000,"$962,000",24
SK Telecom Co Ltd,51,Telecommunication Services,Wireless Telecommunication Services,NYSE,$12.7B,25689,"$1,298,773",13
General Motors Co,50,Consumer Discretionary,Automobiles,NYSE,$47.7B,215000,"$10,695,000",48
Alexion Pharmaceuticals Inc,50,Health Care,Biotechnology,NASDAQ,$31.4B,2924,"$145,228",31
Allstate Corp (The),49,Financials,Insurance,NYSE,$24.8B,41600,"$2,055,000",25
AT&T Inc,49,Telecommunication Services,Diversified Telecommunication Services,NYSE,$239B,281450,"$13,885,000",239
Coca-Cola Enterprises Inc,49,Consumer Staples,Beverages,NYSE,$12B,11500,"$566,000",12
Walt Disney Co (The),49,Consumer Discretionary,Media,NYSE,$175.5B,185000,"$9,080,000",176
SanDisk Corp,49,Information Technology,"Technology Hardware, Storage & Peripherals",NASDAQ,$15.1B,8790,"$427,806",15
Baxalta Inc,48,Health Care,Biotechnology,NYSE,$28.5B,17000,"$811,000",29
HSBC Holdings PLC,48,Financials,Banks,NYSE,$130.7B,264000,"$12,572,000",131
Citizens Financial Group Inc,47,Financials,Banks,NYSE,$12.1B,17700,"$840,000",12
Aetna Inc.,47,Health Care,Health Care Providers & Services,NYSE,$39.4B,50100,"$2,339,300",39
Celanese Corp,46,Materials,Chemicals,NYSE,$10.4B,7081,"$326,000",0
Astrazeneca PLC,46,Health Care,Pharmaceuticals,NYSE,$73.2B,61500,"$2,825,000",73
Motorola Solutions Inc,46,Information Technology,Communications Equipment,NYSE,$13.1B,14000,"$640,000",13
Banco Bradesco Sa Brad,45,Financials,Banks,NYSE,$44.8B,95520,"$4,341,677",45
PT Telekomunikasi Indonesia (Persero) TBK,45,Telecommunication Services,Diversified Telecommunication Services,NYSE,$26.2B,24785,"$1,123,000",26
Anthem Inc,45,Health Care,Health Care Providers & Services,NYSE,$37B,53000,"$2,397,800",37
Anthem Inc,45,Health Care,Health Care Providers & Services,NYSE,$12.2B,53000,"$2,397,800",12
Southwest Airlines Co.,45,Industrials,Airlines,NYSE,$28.5B,49583,"$2,239,000",29
Ford Motor Co,45,Consumer Discretionary,Automobiles,NYSE,$53.9B,199000,"$8,901,000",54
Regions Financial Corp,44,Financials,Banks,NYSE,$12B,23916,"$1,048,000",12
FirstEnergy Corp.,43,Utilities,Electric Utilities,NYSE,$13.8B,15781,"$684,000",14
Marathon Petroleum Corp,43,Energy,"Oil, Gas & Consumable Fuels",NYSE,$20.7B,45440,"$1,962,000",21
Progressive Corp (The),43,Financials,Insurance,NYSE,$19B,28580,"$1,230,200",19
McCormick & Co Inc,42,Consumer Staples,Food Products,NYSE,$11.9B,10000,"$424,500",12
McCormick & Co Inc,42,Consumer Staples,Food Products,NYSE,$11.9B,10000,"$424,500",12
Total,42,Energy,"Oil, Gas & Consumable Fuels",NYSE,$118.8B,96019,"$4,030,000",119
Sanofi,42,Health Care,Pharmaceuticals,NYSE,$107B,115631,"$4,815,294",107
Dr Pepper Snapple Group Inc,42,Consumer Staples,Beverages,NYSE,$17B,19000,"$789,000",17
DISH Network Corp,42,Consumer Discretionary,Media,NASDAQ,$22.9B,18000,"$747,092",23
BT Group PLC,41,Telecommunication Services,Diversified Telecommunication Services,NYSE,$54.9B,88500,"$3,620,921",55
Cardinal Health Inc,40,Health Care,Health Care Providers & Services,NYSE,$25.9B,34500,"$1,387,000",26
Brookfield Asset Management Inc,40,Financials,Real Estate Management & Development,NYSE,$32.5B,55000,"$2,207,000",33
E. I. du Pont de Nemours and Co,40,Materials,Chemicals,NYSE,$57.6B,52000,"$2,085,000",58
Chunghwa Telecom Co Ltd,40,Telecommunication Services,Diversified Telecommunication Services,NYSE,$26.5B,32596,"$1,305,886",27
Illinois Tool Works Inc.,40,Industrials,Machinery,NYSE,$38B,48000,"$1,909,000",38
C.H. Robinson Worldwide Inc.,40,Industrials,Air Freight & Logistics,NASDAQ,$10.2B,13159,"$522,186",0
Agilent Technologies Inc,40,Health Care,Life Sciences Tools & Services,NYSE,$13.4B,11800,"$468,000",13
St. Jude Medical Inc.,40,Health Care,Health Care Equipment & Supplies,NYSE,$21.6B,18000,"$713,000",22
Martin Marietta Materials Inc.,40,Materials,Construction Materials,NYSE,$10.9B,7300,"$288,792",1
